name,category,subcategory,city,neighborhood,address,lat,lng,phone,website,rating,total_reviews,has_website,deep_score,priority,types
Lyon Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Av. Primer Presidente, Asunción 001518, Paraguay",-25.2518711,-57.57947919999999,0986 657777,,4.8,148,False,100,A,establishment|gym|health|point_of_interest
Gorilla's Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Itapua 822, Asunción 001531, Paraguay",-25.2643872,-57.58057849999999,0994 462100,,4.8,67,False,100,A,establishment|gym|health|point_of_interest
SG training,Gimnasio/Fitness,General,Asunción,,"PCJ6+MHW, Sgto. Toribio Valinotti, Asunción 001533, Paraguay",-25.2682684,-57.588542,0992 315496,,4.7,84,False,100,A,establishment|gym|health|point_of_interest
Portas barber shop,Barberia,Barberia Moderna,Fernando de la Mora,,"Av. Santa Teresa, Fernando de la Mora 110301, Paraguay",-25.298647,-57.5449081,0994 215627,,4.9,162,False,100,A,establishment|hair_care|health|point_of_interest
Andessa Beauty Spa,Spa/Wellness,Spa,Asunción,,"Moisés Bertoni 2829, Asunción 1234, Paraguay",-25.2982342,-57.56152580000001,0972 117210,,5.0,86,False,100,A,establishment|point_of_interest|spa
Vita Cosmeticos,Estetica/Facial,Perfumeria,San Lorenzo,,"De Las Residentas, San Lorenzo 111452, Paraguay",-25.3491877,-57.5002702,(021) 590 730,,4.5,412,False,100,A,establishment|point_of_interest|store
Gimnasio Get Fit,Gimnasio/Fitness,Gimnasio,Asunción,,"PCG7+Q33, Profesor Mario Mariotti, Asunción 001534, Paraguay",-25.2727381,-57.58748989999999,0981 764258,,4.7,54,False,100,A,establishment|gym|health|point_of_interest
Hotel Rural San Ignacio Country Club,Spa/Wellness,General,San Ignacio Guazú,,"Paraguay, San Ignacio Guazú 080308, Paraguay",-26.8743517,-56.9891856,0981 809105,,4.4,241,False,100,A,campground|establishment|lodging|point_of_interest|spa
Overfit Gym,Gimnasio/Fitness,Gimnasio,Capiatá,,"JHG6+58P, Capiatá 110221, Paraguay",-25.374526,-57.4391666,0994 700029,,4.8,159,False,100,A,establishment|gym|health|point_of_interest
JF GYM,Gimnasio/Fitness,Gimnasio,Villa Elisa,,"JCR4+J6V, Villa Elisa 111505, Paraguay",-25.3583922,-57.59446670000001,0981 444658,,4.8,57,False,100,A,establishment|gym|health|point_of_interest
Kingbull Crossfit,Gimnasio/Fitness,CrossFit,Ciudad del Este,,"Las Almendras, Cd. del Este 100161, Paraguay",-25.5143769,-54.6489428,0992 905444,,4.8,91,False,100,A,establishment|gym|health|point_of_interest
Barbería Barber Club,Barberia,General,Puerto Iguazú,,"Av. Nestor Kirchner N° 29, N3370 Puerto Iguazú, Misiones, Argentina",-25.6195625,-54.5767859,03757 46-5921,,4.6,184,False,100,A,establishment|hair_care|health|point_of_interest
Elespar Fit,Spa/Wellness,Spa,Capiatá,,"Capiatá 110233, Paraguay",-25.3915213,-57.4442986,0991 220800,,4.8,78,False,100,A,establishment|gym|health|point_of_interest
Level Ten RB,Gimnasio/Fitness,General,Limpio,,"RGM9+MXP, Limpio 110814, Paraguay",-25.1657925,-57.4800457,0985 850152,,4.6,106,False,100,A,establishment|gym|health|point_of_interest
"Centro Artesanal (CAPICI), Itá",Otros,General,Itá,,"1 1315, Itá 110503, Paraguay",-25.5060267,-57.3669624,0986 691115,,4.6,385,False,100,A,establishment|point_of_interest
Jakare Training,Gimnasio/Fitness,General,Ciudad del Este,,"Avenida Buongermini casi Lomas Valentinas Ciudad del Este, Ciudad del Este 7000, Paraguay",-25.5246806,-54.61941479999999,0983 619790,,4.8,91,False,100,A,establishment|gym|health|point_of_interest
GLOBAL FITNESS VILLA ELISA,Gimnasio/Fitness,General,Villa Elisa,,"Salto del Guairá y, Villa Elisa 1102, Paraguay",-25.3636521,-57.5906349,0986 500012,,4.5,97,False,100,A,establishment|gym|health|point_of_interest
POSTA VITAL GYM,Gimnasio/Fitness,Gimnasio,Kapi'atã,Posta Ybycua,"D027, Kapi'atã 110245, Paraguay",-25.3899701,-57.4700421,0981 927558,,4.9,85,False,100,A,establishment|gym|health|point_of_interest
Nocho Wellness Gym,Spa/Wellness,Gimnasio,Presidente Franco,,"C9VF+M8M, Av Monday, Pdte. Franco 100212, Paraguay",-25.5557891,-54.6266879,0961 715906,,4.9,139,False,100,A,establishment|gym|health|point_of_interest
KING KONG CROSS TRAINING,Gimnasio/Fitness,General,Hernandarias,,"Palo Santo, Hernandarias 7220, Paraguay",-25.3771703,-54.6482324,0973 373095,,4.9,62,False,100,A,establishment|gym|health|point_of_interest
Silana,Spa/Wellness,General,Asunción,,"Av. Bruno Guggiari 438, Asunción 110707, Paraguay",-25.3377295,-57.622255,(021) 333 990,,4.8,80,False,100,A,establishment|point_of_interest|spa
Spa de Uñas Liz Roa,Spa/Wellness,Spa,Coronel Oviedo,Barrio Capitan Roa,"Coronel Oviedo 050109, Paraguay",-25.4359033,-56.4461537,0971 496861,,4.6,59,False,100,A,beauty_salon|establishment|point_of_interest
ROMAN CENTRO DE ENTRENAMIENTO,Gimnasio/Fitness,General,Presidente Franco,,"Pindo, Pdte. Franco 7700, Paraguay",-25.5518262,-54.63011359999999,0973 993327,,4.9,69,False,100,A,establishment|gym|health|point_of_interest
Fatima Medina Spa,Spa/Wellness,Spa,Encarnación,,"Abraham, Encarnación 070109, Paraguay",-27.3317873,-55.856964,0975 601311,,4.8,81,False,100,A,establishment|lodging|point_of_interest|spa
MAR BER peluqueria,Peluqueria,General,Lambaré,,"M94G+V8W, Av. Cacique Lambare, Lambaré 110723, Paraguay",-25.3427746,-57.6241839,(021) 921 827,,4.5,195,False,100,A,establishment|hair_care|health|point_of_interest
Peluqueria y Barberia Aveiro - Coronel Oviedo,Peluqueria,General,Coronel Oviedo,Barrio General Caballero,"8080 Coronel Oviedo, Cnel. Oviedo 3300, Paraguay",-25.4504825,-56.4481341,0983 140324,,4.5,116,False,100,A,establishment|hair_care|health|point_of_interest
Barber club py,Barberia,General,Lambaré,,"Panambi Vera 3321, Lambaré 2420, Paraguay",-25.3587468,-57.60039519999999,0971 888665,,4.9,137,False,100,A,establishment|hair_care|health|point_of_interest
"Depilación Láser en Pilar . Estética ""Lis""",Salon de Belleza,General,Pilar,,"Estanislao López 538 ex ruta 8, B2629 Pilar, Provincia de Buenos Aires, Argentina",-34.4547206,-58.91230119999999,011 2391-0450,,4.9,123,False,100,A,beauty_salon|establishment|point_of_interest
Lirdsteam Gym,Gimnasio/Fitness,Gimnasio,Lambaré,,"Manuel Dominguez, Lambaré 110718, Paraguay",-25.3429602,-57.6019261,0981 461813,,4.9,108,False,100,A,establishment|gym|health|point_of_interest
Cacique Fit Club,Gimnasio/Fitness,General,Lambaré,,"Campo Via, Lambaré 110725, Paraguay",-25.3440751,-57.634507,0986 457613,,4.7,157,False,100,A,establishment|gym|health|point_of_interest
BODY PRO GYM,Gimnasio/Fitness,Gimnasio,Lambaré,,"Río carapan, Lambaré 1123, Paraguay",-25.343513,-57.5974525,0992 391607,,4.6,55,False,100,A,establishment|gym|health|point_of_interest
Rommy Salon Femenino & Masculino,Salon de Belleza,General,Ciudad del Este,,"F9RH+27J, Av. San Blás, Cd. del Este 100130, Paraguay",-25.5099086,-54.62186089999999,(061) 509 986,,4.6,281,False,100,A,establishment|hair_care|health|point_of_interest
Kava Gym,Gimnasio/Fitness,Gimnasio,Encarnacion,,"Encarnacion 6000, Paraguay",-27.3428403,-55.8648336,0985 777794,,4.7,50,False,100,A,establishment|gym|health|point_of_interest
Aerofisic,Gimnasio/Fitness,General,Asunción,,"PC5C+FC2, Del Maestro, Asunción 001411, Paraguay",-25.2913559,-57.57899399999999,0984 392700,,4.6,74,False,100,A,establishment|gym|health|point_of_interest
Sonia Gonzalez Peinados y Maquillajes,Spa/Wellness,General,San Lorenzo,,"MF3V+FR9, Gaspar R. De Francia, San Lorenzo 111423, Paraguay",-25.3463493,-57.50538150000001,0983 540712,,4.8,59,False,100,A,establishment|hair_care|point_of_interest
PRIME + Fitness y Bienestar,Gimnasio/Fitness,General,Doctor Juan Eulogio Estigarribia,,"Doctor Juan Eulogio Estigarribia 051204, Paraguay",-25.3765834,-55.6903596,0985 556333,,4.9,55,False,100,A,establishment|gym|health|point_of_interest
American fitness Enc,Gimnasio/Fitness,General,Encarnación,,"25 de Mayo, Encarnación 070111, Paraguay",-27.3287108,-55.8630501,0985 108158,,4.9,53,False,100,A,establishment|gym|health|point_of_interest
CRISTY GYM -TFFMedia,Gimnasio/Fitness,Gimnasio,Ñemby,,"Simeon Gomez e 2540, Ñemby 111214, Paraguay",-25.3991468,-57.5464729,0972 193796,,4.7,59,False,100,A,establishment|gym|health|point_of_interest
Pavigi Spa,Spa/Wellness,Spa,San Lorenzo,,"MF56+XHR, Av. Pastora Céspedes, San Lorenzo 111438, Paraguay",-25.3400236,-57.5386044,0981 574641,,4.2,195,False,100,A,establishment|lodging|point_of_interest|spa
Vip Training,Gimnasio/Fitness,General,Caaguazú,,"GXHJ+97P, Unnamed Road, Caaguazú 050207, Paraguay",-25.4715471,-56.0192814,0975 325594,,4.8,78,False,100,A,establishment|gym|health|point_of_interest
MegaSport Fitness Center,Gimnasio/Fitness,Gimnasio,Villa Elisa,San Juan,"Pirayu 479, Villa Elisa 111505, Paraguay",-25.3614613,-57.5977638,0981 191146,,4.7,227,False,100,A,establishment|gym|health|point_of_interest
Barbearia Soul Black,Peluqueria,General,Ciudad del Este,,"Av. Itaipú Oeste 215, Cd. del Este 100153, Paraguay",-25.5120448,-54.6351617,(21) 97585-1255,,5.0,114,False,100,A,establishment|hair_care|health|point_of_interest
Barberia H2O,Barberia,General,San Lorenzo,,"Frente a la UNA, Gaspar R De Francia, San Lorenzo 111420, Paraguay",-25.3334422,-57.51349159999999,0972 413121,,4.9,194,False,100,A,establishment|hair_care|health|point_of_interest
RUIZ GYM - Gimnasio de taekwondo y Zumba,Gimnasio/Fitness,Gimnasio,Villa Elisa,,"JCP6+WCH, Panamá, Villa Elisa 111507, Paraguay",-25.3626863,-57.5888952,0981 299064,,4.8,57,False,100,A,establishment|gym|health|point_of_interest
Leticia Carballo Makeup & Store,Maquillaje,General,Fernando de la Mora,Fernando Zona Norte,"Don Bosco &, Del Carmen, Fernando de la Mora 110310, Paraguay",-25.3146305,-57.529184,0984 904215,,4.6,206,False,100,A,beauty_salon|establishment|point_of_interest
Kuña Porã - Estetica & Spa,Spa/Wellness,Spa,Caaguazú,Barrio San Lorenzo,"GXP9+QQP, Dr. Walter Insfran, Caaguazú 050209, Paraguay",-25.4630371,-56.0305622,0985 734202,,4.9,52,False,100,A,establishment|hair_care|point_of_interest
Más Bonita Cosméticos,Otros,General,Fernando de la Mora,Fernando Zona Norte,"Ruta Mcal. José F. Estigarribia 419, Fernando de la Mora 110308, Paraguay",-25.321741,-57.5570873,0983 342707,,4.7,202,False,100,A,establishment|point_of_interest|store
IL BARONE,Peluqueria,General,San Lorenzo,,"Manuel Ortiz Guerrero, San Lorenzo 111461, Paraguay",-25.3658409,-57.51593789999999,0986 336903,,4.9,102,False,100,A,establishment|hair_care|health|point_of_interest
Spacio Vital Spa,Spa/Wellness,Spa,San Lorenzo,,"MF2Q+P67, San Lorenzo 111430, Paraguay",-25.348205,-57.5119599,0984 466327,,4.6,55,False,100,A,establishment|point_of_interest|spa
319 GYM,Gimnasio/Fitness,Gimnasio,Mariano Roque Alonso,,"Saturio Rios 319 casi, Av. Mariscal López, Mariano Roque Alonso 111009, Paraguay",-25.2136764,-57.52711480000001,0971 313940,,4.7,70,False,100,A,establishment|gym|health|point_of_interest
KennFel training center,Gimnasio/Fitness,General,Coronel Oviedo,Barrio Gral Caballero,"GGVX+FQ, Coronel Oviedo 050117, Paraguay",-25.4506946,-56.447787,0972 467120,,4.8,78,False,100,A,establishment|gym|health|point_of_interest
Marcela SPA,Spa/Wellness,Spa,Fernando de la Mora,Fernando Zona Sur,"Av. Zavalas Cué & Julia Miranda Cueto, MCFW+G8F, Fernando de la Mora 110322, Paraguay",-25.3261955,-57.55419549999999,0981 527713,,4.5,91,False,100,A,establishment|point_of_interest
Maika Spa 1811,Spa/Wellness,Spa,Fernando de la Mora,Fernando Zona Norte,"Mariscal Estigrarribia y Teniente Ettiene Paseo 1811 Fernando de la Mora, Fernando de la Mora 2300, Paraguay",-25.3260572,-57.54614280000001,0971 990976,,4.8,80,False,100,A,beauty_salon|establishment|hair_care|health|point_of_interest
Peluquería Sánchez,Peluqueria,General,Fernando de la Mora,Fernando Zona Sur,"2300, Fernando de la Mora 110325, Paraguay",-25.3284865,-57.56349050000001,0982 453302,,4.9,251,False,100,A,establishment|hair_care|point_of_interest
ELITE SPORTS,Gimnasio/Fitness,General,Coronel Oviedo,Barrio General Caballero,"Mariscal Lopez, Cnel. Oviedo 050107, Paraguay",-25.4409682,-56.4420784,0972 132531,,4.5,73,False,100,A,establishment|gym|health|point_of_interest
SB Power Gym - Muscle and Fitness,Gimnasio/Fitness,Gimnasio,Coronel Oviedo,Barrio San Isidro,"Tuyuti, Coronel Oviedo 3300, Paraguay",-25.4556622,-56.44938089999999,0991 820802,,4.7,53,False,100,A,establishment|gym|health|point_of_interest
SERGIO FITNESS CENTER,Gimnasio/Fitness,Gimnasio,Luque,,"José Concepción Ortíz, Luque 110929, Paraguay",-25.2709738,-57.47703249999999,0986 135278,,4.8,58,False,100,A,establishment|gym|health|point_of_interest
Zona Fitness Gym,Gimnasio/Fitness,Gimnasio,Mariano Roque Alonso,Caacupe Mi,"QFQ6+PX2, Mariano Roque Alonso 111010, Paraguay",-25.2107367,-57.5376111,0972 151365,,4.8,98,False,100,A,establishment|gym|health|point_of_interest
Clinica Dr.T,Spa/Wellness,General,Asunción,,"Soldado Desconocido 125, Asunción 0000, Paraguay",-25.285341,-57.5828088,(021) 602 490,,4.8,53,False,100,A,establishment|health|point_of_interest|spa
Hair Fashion,Peluqueria,General,Puerto Iguazú,,"C. Bonpland 352-400, N3370 Puerto Iguazú, Misiones, Argentina",-25.5965529,-54.5712696,03757 45-1896,,4.5,135,False,100,A,establishment|hair_care|point_of_interest
Po Renda Spa de Manos y Pies,Spa/Wellness,Spa,Asunción,,"Mayor José Lamas Carísimo 716, Asunción 001417, Paraguay",-25.3088972,-57.5632996,0983 041081,,4.7,88,False,100,A,beauty_salon|establishment|hair_care|health|point_of_interest|store
Charme ASU,Peluqueria,General,Asunción,,"Shopping Villa Morra, Av. Mariscal López Local 49, Asunción 001412, Paraguay",-25.294498,-57.58106910000001,(021) 612 899,,4.5,299,False,100,A,establishment|hair_care|point_of_interest
Full Form Gym,Gimnasio/Fitness,Gimnasio,Villa Elisa,,"Luis A. del Parana, Villa Elisa 111502, Paraguay",-25.3496842,-57.5795219,0981 423913,,4.5,148,False,100,A,establishment|gym|health|point_of_interest
Ferrobox Encarnacion,Gimnasio/Fitness,CrossFit,Encarnación,,"Cristina Luzko, Av. San Roque Gonzalez de Sta. Cruz, Encarnación 070124, Paraguay",-27.3539377,-55.8582844,0972 511341,,5.0,50,False,100,A,establishment|gym|health|point_of_interest
Peluqueria Galan,Peluqueria,General,Fernando de la Mora,Fernando Zona Sur,"MC8H+3P7, Fernando de la Mora 110327, Paraguay",-25.3348488,-57.5707025,(021) 523 407,,4.7,102,False,100,A,establishment|point_of_interest|shopping_mall
Guillén Barbershop,Barberia,General,Fernando de la Mora,Fernando Zona Sur,"11 de Setiembre, Fernando de la Mora 110321, Paraguay",-25.3399009,-57.55551799999999,0983 429300,,4.8,301,False,100,A,establishment|hair_care|health|point_of_interest
Nutrifit Spa y Belleza,Spa/Wellness,Spa,Fernando de la Mora,Fernando Zona Norte,"Don Bosco 2221, Fernando de la Mora 110310, Paraguay",-25.315578,-57.5310569,0981 953000,https://www.instagram.com/nutrifit.spa_belleza/,4.6,233,True,100,A,establishment|point_of_interest|spa
Body Wellness Gym,Spa/Wellness,Gimnasio,Luque,,"PGP4+585, Comandante Peralta, Luque 110918, Paraguay",-25.2646226,-57.4941403,(021) 653 355,,4.5,114,False,100,A,establishment|gym|health|point_of_interest
Zona Fit - Plaza Madero,Gimnasio/Fitness,General,Luque,,"Autopista Silvio Pettirossi, &, Luque 110917, Paraguay",-25.2560188,-57.5123275,0986 108875,,4.8,80,False,100,A,establishment|gym|health|point_of_interest
Tabarelli Training Center,Gimnasio/Fitness,General,Luque,,"PGM3+6XJ, Av. Gral. Aquino, Luque 110932, Paraguay",-25.2669044,-57.4951059,(021) 655 172,,4.5,153,False,100,A,establishment|gym|health|point_of_interest
Full Fitness Gym,Gimnasio/Fitness,Gimnasio,Luque,,"PGP3+277, Mariscal Lopez, Luque 110918, Paraguay",-25.2649717,-57.49681779999999,(021) 640 740,,4.7,197,False,100,A,establishment|gym|health|point_of_interest
Luque Training,Gimnasio/Fitness,General,Luque,,"Del Maestro Chei, Cnel. Oviedo, Luque 110933, Paraguay",-25.2690763,-57.5002178,0984 910808,,4.9,66,False,100,A,establishment|gym|health|point_of_interest
Nde Barba,Peluqueria,General,Fernando de la Mora,,"entre Libertad, Nicasio Villalba y, Fernando de la Mora 110311, Paraguay",-25.3104714,-57.53023349999999,0991 444268,,4.8,118,False,100,A,establishment|hair_care|health|point_of_interest
Áva Mariscal,Peluqueria,General,Asunción,,"Av. Mariscal López 4561, Asunción 1863, Paraguay",-25.2977313,-57.5708997,0994 558853,,4.6,235,False,100,A,establishment|hair_care|point_of_interest
Ita y Alex.,Spa/Wellness,General,Güímar,,"Av. de Santa Cruz, 1, 38500 Güímar, Santa Cruz de Tenerife, Spain",28.3163935,-16.4091705,922 09 11 32,,4.8,121,False,100,A,beauty_salon|establishment|hair_care|point_of_interest
ONE GYM,Gimnasio/Fitness,Gimnasio,Luque,,"Sportivo Luqueño, Luque 110930, Paraguay",-25.2723829,-57.4914101,0984 902237,,4.5,82,False,100,A,establishment|gym|health|point_of_interest
Soul Gym & Nutrición,Gimnasio/Fitness,Gimnasio,Mariano Roque Alonso,,"Coronel Martínez casi Gervasio León, Mariano Roque Alonso Mariano Roque Alonso, Mariano Roque Alonso 2040, Paraguay",-25.2064171,-57.5167481,0971 958076,,4.8,62,False,100,A,establishment|gym|health|point_of_interest
Gimnasio Oxigeno,Gimnasio/Fitness,Gimnasio,Mariano Roque Alonso,Caacupe Mi,"Mariano Roque Alonso 111010, Paraguay",-25.2146224,-57.5332896,0971 871038,,4.7,70,False,100,A,establishment|gym|health|point_of_interest
Tony Galeano y Tu SPACIO depi nails,Spa/Wellness,Spa,Villa Elisa,,"Colonia Elisa Esq, Villa Elisa 111515, Paraguay",-25.3728974,-57.56849049999999,0985 893160,,4.8,66,False,100,A,establishment|hair_care|health|point_of_interest
Apple Wellness Gym,Spa/Wellness,Gimnasio,Asunción,,"Av. Mariscal López, Asunción 001412, Paraguay",-25.295397,-57.57870130000001,0982 828165,,4.8,62,False,100,A,establishment|gym|health|point_of_interest
Jazmin Cosmeticos,Estetica/Facial,Perfumeria,Lambaré,,"Av. Cacique Lambare 960, Lambaré 110723, Paraguay",-25.3427201,-57.62451389999999,0981 961766,,4.6,211,False,100,A,establishment|point_of_interest|store
Ayala Training,Gimnasio/Fitness,General,Caacupé,,"Ruta, Mariscal José Félix Estigarribia y, Caacupé 030106, Paraguay",-25.3870422,-57.1449042,0972 114479,,4.8,116,False,100,A,establishment|gym|health|point_of_interest
